project_path,test_success,maven_test_time,xml_test_time,overhead_time
lintool_warcbase,true,27.963,16.642999999999997,11.320000000000004
mangstadt_ez-vcard,true,5.12,2.474999999999998,2.6450000000000022
mesos_storm,true,2.582,0.8750000000000001,1.7069999999999999
mitre_HTTP-Proxy-Servlet,true,17.091,15.881,1.2100000000000009
mongojack_mongojack,true,357.772,353.80999999999995,3.962000000000046
neo4j_neo4j-ogm,true,426.739,422.8070000000001,3.9319999999999027
networknt_light-java,true,41.845,65.803,-23.958
neuland_jade4j,true,3.528,1.6729999999999994,1.8550000000000006
olivergierke_spring-restbucks,true,21.302,12.749999999999998,8.552000000000001
openscoring_openscoring,false,11.962,1.669,10.293
pac4j_pac4j,false,68.621,10.979,57.641999999999996
patrickfav_density-converter,true,76.311,74.27100000000002,2.039999999999992
perwendel_spark,true,20.031,2.946,17.084999999999997
pinterest_secor,true,7.232,4.907,2.325
protegeproject_webprotege,true,6.604,1.7849999999999957,4.819000000000004
rackerlabs_blueflood,true,67.719,54.36699999999998,13.352000000000011
raml-org_raml-java-parser,true,6.752,4.7780000000000005,1.9739999999999993
redpen-cc_redpen,true,36.599,32.334,4.2649999999999935
restx_restx,false,0,0,0
rythmengine_rythmengine,true,34.203,32.415000000000006,1.7879999999999967
schema-repo_schema-repo,true,18.784,15.126999999999999,3.657
sendgrid_sendgrid-java,false,2.824,1.17,1.654
sirensolutions_siren-join,false,19.101,16.852999999999998,2.248000000000001
speedment_speedment,true,29.224,16.882999999999996,12.341000000000005
spinscale_elasticsearch-opennlp-plugin,false,63.171,62.205,0.9660000000000011
spotify_apollo,true,28.28,22.781000000000006,5.498999999999995
spotify_cassandra-reaper,true,7.161,6.183,0.9779999999999998
spotify_docker-client,false,6.159,3.456,2.703
spotify_helios,false,97.59100000000001,381.2109999999999,-283.6199999999999
spotify_netty-zmtp,true,5.645,3.816,1.8289999999999997
spring-cloud_spring-cloud-aws,false,0,0,0
spring-guides_tut-bookmarks,true,13.132,0.93,12.202
spring-projects_spring-amqp-samples,true,8.963,1.6769999999999998,7.286
spring-projects_spring-boot,false,140.739,3.665,137.074
spring-projects_spring-data-commons,true,17.476,8.906999999999996,8.569000000000003
spring-projects_spring-data-redis,false,612.404,543.6960000000006,68.7079999999994
spring-projects_spring-mvc-showcase,true,15.415,13.475,1.9399999999999995
spring-projects_spring-retry,true,7.443,6.566999999999999,0.8760000000000003
structr_structr,false,1208.963,895.1739999999996,313.7890000000003
swagger-api_swagger-core,true,13.069,6.875,6.194000000000001
swagger-api_swagger-socket,true,21.444,16.508,4.936
takari_polyglot-maven,false,41.355,7.416999999999999,33.937999999999995
tamingtext_book,false,75.274,59.01,16.264000000000003
tdunning_t-digest,false,211.744,209.06300000000002,2.680999999999983
timmolter_XChange,true,73.941,64.864,9.076999999999998
tomighty_tomighty,true,5.686,4.6049999999999995,1.0810000000000004
torquebox_jruby-maven-plugins,false,9.898,3.7479999999999998,6.15
trautonen_coveralls-maven-plugin,true,5.378,1.409,3.9690000000000003
