mode,name,elapsed_time,r_time,r_skipped,r_tests,r_failures,t_user,t_sys,t_wall
Standard,jackrabbit,422,402.066,0,4559,0,400.58,9.85,423.48
Standard,hank,203,198.78699999999992,0,214,0,49.36,3.48,204.93
Standard,BridJ,37.429,19.323999999999998,7,456,0,55.9,1.51,38.29
Standard,HotSUploader,14.008,10.284,0,39,0,17.72,0.37,14.84
Standard,succinct,68,33.681000000000004,0,202,0,151.99,4.99,69.34
Standard,barefoot,3.381,0.9099999999999999,2,55,0,15.41,0.27,4.17
Standard,cloud-slang,140,103.94200000000004,21,1070,0,361.6,5.09,141.4
Standard,incubator-metron,284,239.905,0,617,0,272.28,6.75,285.74
Standard,ohc,175,22.054000000000006,0,145,0,217.77,7.67,176.27
Standard,camel-cookbook-examples,270,257.0429999999998,1,383,0,266.99,4.61,271.49
Standard,MOE,3.037,1.7649999999999986,0,263,0,9.46,0.83,3.83
Standard,AppiumTestDistribution,6.520,7.265000000000001,3,24,0,16.1,0.25,7.37
Standard,gerrit-trigger-plugin,1247,4784.814000000001,0,529,0,3072.85,125.17,1248.73
Standard,google-places-api-java,1.666,0.186,0,1,0,7.56,0.18,2.48
Standard,greenmail,50.331,46.129999999999995,0,99,0,24.16,0.86,51.11
Standard,archiva,3.261,0.020999999999999998,0,2,0,15.17,0.4,4.15
Standard,zookeeper-book-example,94,41.563,0,13,0,19.39,1.25,95.24
Standard,p2-maven-plugin,6.801,0.48000000000000004,0,32,0,26.43,0.41,7.69
Standard,elasticsearch-opennlp-plugin,62,61.535000000000004,0,6,0,11.73,0.39,63.32
Standard,glowroot,52.357,11.251999999999999,0,431,0,128.87,2.96,53.44
Standard,neo4j-framework,170,165.06099999999995,1,529,0,126.45,19.38,171.4
Standard,MCProtocolLib,3.539,0.385,0,7,0,5.86,0.18,4.29
Standard,logback-gelf,9.285,0.20800000000000002,0,4,0,33.58,1.68,10.05
Standard,KumuluzEE,2.370,0.087,0,4,0,10.6,0.24,3.19
Standard,incubator-samoa,61,53.914,0,47,0,65.5,7.12,62.82
Standard,sonar-java,56.920,51.13800000000009,0,1695,0,200.32,6.93,57.79
Standard,raml-java-parser,10.672,7.964999999999991,0,453,0,36.03,2.77,11.47
Standard,elki,57.380,42.04900000000003,2,496,0,123.64,3.34,58.38
Standard,geoip-api-java,1.921,0.017,0,11,0,9.16,0.14,2.74
Standard,incubator-guacamole-client,13.107,0.009000000000000001,0,6,0,55.2,1.18,13.99
Standard,JComicDownloader,0.967,0.043000000000000003,38,38,0,5.43,0.1,1.76
Standard,first-stories-twitter,1.092,0.014000000000000002,0,11,0,6.18,0.15,1.94
Standard,multibit-hd,91,84.13799999999999,1,148,0,65.94,1.98,92.43
Standard,dynamodb-cross-region-library,6.347,0.4120000000000001,0,22,0,29.38,0.52,7.6
Standard,lolibox,18.199,0.031,0,2,0,74.59,1.62,19.04
Standard,maven-surefire,1.393,0.002,0,2,0,7.99,0.2,2.26
Standard,spring-boot-rest-example,7.164,0.358,0,2,0,30.95,0.6,7.99
Standard,Enkel-JVM-language,4.514,0.6600000000000001,0,27,0,20.29,0.38,5.34
Standard,tut-bookmarks,15.194,0.714,0,5,0,62.14,1.2,16.05
Standard,density-converter,82,80.92800000000001,1,134,0,79.93,2.86,83.01
Standard,jpmml-evaluator,18.612,11.586999999999998,0,239,0,67.0,1.31,19.52
Standard,hraven,33.750,1.2730000000000001,0,87,0,40.5,1.4,34.52
Standard,storm,3.102,0.29300000000000004,0,32,0,13.11,0.24,3.9
Standard,SimpleFlatMapper,128,108.05700000000006,0,1248,0,549.23,9.82,129.01
Standard,rest-microservices,347,0.155,0,2,0,66.06,1.93,348.54
Standard,spring-cloud-aws,260,232.37100000000007,0,526,0,66.55,3.81,261.2
Standard,kitten,32.281,6.614999999999999,0,7,0,28.66,0.64,33.1
Standard,leshan,48.718,68.123,13,262,0,26.06,0.96,49.57
Standard,ez-vcard,7.048,3.2089999999999974,0,941,0,28.14,0.5,7.87
Standard,niubi-job,4.214,2.498,0,45,0,17.93,0.36,5.03
Standard,caesar,3.740,1.2129999999999999,0,53,0,11.77,0.2,4.57
Standard,bigbash,3.485,0.402,0,16,0,15.49,0.24,4.32
Standard,Axon-trader,5.792,3.281,0,65,0,19.19,0.49,6.66
Standard,warcbase,28.133,13.571,0,42,0,79.59,3.66,29.08
Standard,tamper,1.926,0.6740000000000002,0,62,0,7.64,0.13,2.7
Standard,chaos-http-proxy,88,86.746,0,21,0,12.34,0.29,89.17
Standard,logback-extensions,8.995,6.220000000000001,1,3,0,7.5,0.16,9.77
Standard,tcx2nikeplus,6.063,4.83,0,19,0,12.95,0.31,6.85
Standard,zebra,12.597,0.14000000000000004,0,381,0,33.52,0.52,13.47
Standard,CorfuDB,62,56.538,0,183,0,75.87,4.37,63.96
Standard,neo4j-ogm,315,117.96600000000002,18,1183,0,158.61,5.74,316.64
Standard,spring-data-examples,662,180.04700000000003,0,19,0,14.16,0.52,663.78
Standard,jruby-maven-plugins,11.842,4.115,0,13,0,46.54,0.96,12.72
Standard,NoCheatPlus,5.815,3.432,0,55,0,16.19,0.29,6.59
Standard,imglib2,6.693,4.392999999999999,0,375,0,18.46,0.31,7.49
Standard,Chronicle-Logger,15.519,4.435000000000001,2,61,0,29.7,0.96,16.36
Standard,schema-repo,16.997,12.379,1,81,0,32.55,0.95,17.86
Standard,spring-authorization-manager,6.099,0.012,0,5,0,6.21,0.16,6.87
Standard,yum-repo-server,66,64.20800000000003,0,192,0,23.36,0.8,67.25
Standard,spotify-web-api-java,2.066,0.7060000000000002,5,115,0,10.54,0.22,2.89
Standard,SAGU,4.325,1.7979999999999998,0,43,0,12.5,0.25,5.11
Standard,aem-project-archetype,0.373,0.117,0,1,0,3.28,0.1,1.15
Standard,googleads-java-lib,15.331,10.436000000000002,0,3956,0,37.53,1.6,16.13
