name,compiled,tested,tests,suites,failures,runs,mvn_time_avg,mvn_time_sd,xml_time_avg,xml_time_sd,perc_failures,timecost_group
JodaOrg_joda-time,SUCCESS,SUCCESS,4207,1,0,3,6.172,0.0677347768875043,3.35933333333333,0.0453247540901584,0.00,short
jooby-project_jooby,SUCCESS,FAILURE,2180,327,30,3,250.333333333333,1.52752523165195,191.197,1.42650657201444,1.38,medium
jplag_jplag,SUCCESS,SUCCESS,19,2,0,3,7.95633333333333,0.0571430952375987,0.598,0.0149331845230681,0.00,short
jpmml_jpmml-evaluator,SUCCESS,SUCCESS,247,96,0,3,23.0336666666667,0.0464901423242948,14.9603333333333,0.0889119414552003,0.00,short
jpmml_jpmml-sklearn,SUCCESS,SUCCESS,92,17,0,3,36.2556666666667,0.483067628115704,33.548,0.450520809730255,0.00,short
jpush_jpush-api-java-client,SUCCESS,SUCCESS,72,11,0,3,2.89133333333333,0.0545557818506283,0.113,0.00556776436283003,0.00,short
jqno_equalsverifier,SUCCESS,SUCCESS,767,85,0,3,10.5553333333333,0.306888144660775,8.384,0.345625519891109,0.00,short
jsimone_webapp-runner,SUCCESS,SUCCESS,4,1,0,3,2.36266666666667,0.0742248835184896,0.007,0,0.00,short
jsonld-java_jsonld-java,SUCCESS,SUCCESS,553,15,0,3,34.238,12.1924330631749,30.9493333333333,12.2200872473699,0.00,short
JSQLParser_JSqlParser,SUCCESS,SUCCESS,531,35,0,3,9.01933333333333,0.0997613819738548,6.39866666666667,0.0466082968293561,0.00,short
kaitoy_pcap4j,SUCCESS,FAILURE,68,7,0,3,7.22133333333333,0.135651514305345,1.39366666666667,0.0297377425729214,0.00,short
keepkey_multibit-hd,SUCCESS,SUCCESS,148,36,0,3,89,0,82.8293333333334,0.465001433689564,0.00,medium
kenglxn_QRGen,SUCCESS,SUCCESS,64,7,0,3,4.047,0.0705336798983293,2.157,0.067446274915669,0.00,short
keycloak_keycloak,FAILURE,FAILURE,758,146,0,3,709.333333333333,7.50555349946514,255.812,2.42841697408001,0.00,medium
kframework_k,SUCCESS,SUCCESS,228,47,0,3,135.333333333333,0.577350269189626,128.727,0.227330156380539,0.00,medium
khoubyari_spring-boot-rest-example,SUCCESS,SUCCESS,2,1,0,3,8.74366666666667,0.144942517341646,0.364666666666667,0.0259293913027925,0.00,short
killbill_killbill,FAILURE,FAILURE,151,1,0,3,309.333333333333,23.1156512634477,0.36,0.00608276253029822,0.00,short
kite-sdk_kite,SUCCESS,SUCCESS,2394,200,0,3,1175.33333333333,7.37111479583199,1123.04233333333,4.70499419057414,0.00,long
klout_brickhouse,SUCCESS,SUCCESS,35,10,0,3,12.306,1.94852046435238,10.8123333333333,1.95777177764247,0.00,short
kongchen_swagger-maven-plugin,SUCCESS,SUCCESS,23,1,0,3,15.5796666666667,0.137551202587739,111.108333333333,1.33715157455441,0.00,medium
konsoletyper_teavm,FAILURE,FAILURE,1796,108,0,3,920.666666666667,8.32666399786453,3923.01633333333,189.232645791717,0.00,long
ktoso_maven-git-commit-id-plugin,SUCCESS,SUCCESS,126,15,0,3,14.216,0.265535308386663,11.0836666666667,0.317506430381076,0.00,short
kumuluz_kumuluzee,SUCCESS,SUCCESS,4,3,0,3,2.95066666666667,0.103664523021781,0.106666666666667,0.00152752523165195,0.00,short
lambadaframework_lambadaframework,SUCCESS,FAILURE,82,11,1,3,4.02866666666667,0.0196553639837408,0.759666666666667,0.0187705443004015,1.22,short
languagetool-org_languagetool,SUCCESS,SUCCESS,853,348,0,3,332.666666666667,3.05505046330389,291.248,2.600259410136,0.00,medium
larsga_Duke,SUCCESS,SUCCESS,671,70,0,3,12.612,0.0381051177665157,9.23366666666666,0.0231804515342839,0.00,short
lastfm_musicbrainz-data,SUCCESS,FAILURE,34,6,2,3,1.403,0.051468436929831,0.098,0.001,5.88,short
la-team_light-admin,SUCCESS,SUCCESS,43,14,0,3,3.74233333333333,0.0127410099024109,0.223666666666667,0.00472581562625261,0.00,short
lejon_T-SNE-Java,SUCCESS,SUCCESS,20,3,0,3,204.333333333333,8.62167810425171,203.402,8.85747616423551,0.00,medium
lemire_javaewah,SUCCESS,SUCCESS,268,11,0,3,23.9056666666667,0.904177711146062,36.967,1.13856796020265,0.00,short
lemire_JavaFastPFOR,SUCCESS,SUCCESS,52,11,0,3,20.8036666666667,0.169606407111681,18.7876666666667,0.12203414822636,0.00,short
leonchen83_redis-replicator,SUCCESS,?,50,35,4,3,0,0,85.162,1.68411282282392,8.00,medium
ligboy_retrofit-converter-fastjson,SUCCESS,SUCCESS,3,1,0,3,3.224,0.0379868398264452,0.152333333333333,0.00404145188432738,0.00,short
linkedin_pinot,SUCCESS,SUCCESS,637,222,0,3,3495,35.3836120259083,3010.52533333333,35.9396285781226,0.00,long
linqs_psl,SUCCESS,SUCCESS,126,21,0,3,14.715,0.178160040413108,7.10833333333333,0.113103197714889,0.00,short
lintool_warcbase,SUCCESS,SUCCESS,42,23,0,3,32.4283333333333,0.509898355884126,16.4663333333333,0.427729275749666,0.00,short
lukehutch_fast-classpath-scanner,SUCCESS,SUCCESS,79,23,0,3,4.40733333333333,0.0323470761172214,1.426,0.0150996688705415,0.00,short
mangstadt_ez-vcard,SUCCESS,SUCCESS,954,97,0,3,8.42566666666667,0.0505997364947021,4.29266666666666,0.0467582434799826,0.00,short
