name,exec_id,compiled,tested,mvn_test_time,xml_time,tests,suites,failures
twitter_elephant-bird,0822082044,FAILURE,FAILURE,1.291,0,0,0,0
twitter_elephant-bird,0820095722,FAILURE,FAILURE,1.31,0,0,0,0
twitter_elephant-bird,0818134515,FAILURE,FAILURE,1.336,0,0,0,0
USCDataScience_sparkler,0829090641,SUCCESS,SUCCESS,40.133,30.205000000000002,9,3,0
USCDataScience_sparkler,0829191149,SUCCESS,SUCCESS,41.185,31.257,9,3,0
USCDataScience_sparkler,0830044330,SUCCESS,SUCCESS,39.924,30.122,9,3,0
rstoyanchev_spring-mvc-chat,0822082044,SUCCESS,SUCCESS,0.73,0,0,0,0
rstoyanchev_spring-mvc-chat,0820095722,SUCCESS,SUCCESS,0.614,0,0,0,0
rstoyanchev_spring-mvc-chat,0818134515,SUCCESS,SUCCESS,0.724,0,0,0,0
shopizer-ecommerce_shopizer,0822082044,SUCCESS,SUCCESS,3.0,0.0,15,15,0
shopizer-ecommerce_shopizer,0820095722,SUCCESS,SUCCESS,2.94,0.0,15,15,0
shopizer-ecommerce_shopizer,0818134515,SUCCESS,SUCCESS,3.049,0.0,15,15,0
swagger-api_swagger-core,0822082044,SUCCESS,SUCCESS,31.793,4.58,293,4,0
swagger-api_swagger-core,0820095722,SUCCESS,SUCCESS,31.204,4.578,293,4,0
swagger-api_swagger-core,0818134515,SUCCESS,SUCCESS,31.396,4.479,293,4,0
treygrainger_solr-in-action,0822082044,SUCCESS,SUCCESS,0.966,0,0,0,0
treygrainger_solr-in-action,0820095722,SUCCESS,SUCCESS,1.058,0,0,0,0
treygrainger_solr-in-action,0818134515,SUCCESS,SUCCESS,1.013,0,0,0,0
ThreeTen_threetenbp,0829090641,SUCCESS,SUCCESS,9.634,4.402,17779,1,0
ThreeTen_threetenbp,0829191149,SUCCESS,SUCCESS,9.423,4.328,17779,1,0
ThreeTen_threetenbp,0830044330,SUCCESS,SUCCESS,9.362,4.286,17779,1,0
openscoring_openscoring,0822082044,SUCCESS,SUCCESS,7.639,3.672,4,3,0
openscoring_openscoring,0820095722,SUCCESS,SUCCESS,7.446,3.4639999999999995,4,3,0
openscoring_openscoring,0818134515,SUCCESS,SUCCESS,7.509,3.588,4,3,0
im-qq_netty-chat,0822082044,SUCCESS,SUCCESS,1.12,0,0,0,0
im-qq_netty-chat,0820095722,SUCCESS,SUCCESS,1.074,0,0,0,0
im-qq_netty-chat,0818134515,SUCCESS,SUCCESS,1.101,0,0,0,0
AdamBien_afterburner.fx,0822082044,SUCCESS,FAILURE,3.338,0.781,46,8,1
AdamBien_afterburner.fx,0820095722,SUCCESS,FAILURE,3.395,0.81,46,8,1
AdamBien_afterburner.fx,0818134515,SUCCESS,FAILURE,3.327,0.8,46,8,1
lemire_javaewah,0822082044,SUCCESS,SUCCESS,23.661,36.237999999999985,268,11,0
lemire_javaewah,0820095722,SUCCESS,SUCCESS,23.149,36.384,268,11,0
lemire_javaewah,0818134515,SUCCESS,SUCCESS,24.907,38.279,268,11,0
ddf-project_DDF,0822082044,SUCCESS,FAILURE,371,0,0,0,0
ddf-project_DDF,0820095722,SUCCESS,FAILURE,371,0,0,0,0
ddf-project_DDF,0818134515,SUCCESS,FAILURE,372,0,0,0,0
feroult_yawp,0822082044,SUCCESS,SUCCESS,13.153,5.807000000000003,358,57,0
feroult_yawp,0820095722,SUCCESS,SUCCESS,13.418,5.955,358,57,0
feroult_yawp,0818134515,SUCCESS,SUCCESS,13.373,5.958,358,57,0
timmolter_Sundial,0829090641,SUCCESS,FAILURE,2.27,0.21000000000000002,8,5,1
timmolter_Sundial,0829191149,SUCCESS,FAILURE,2.229,0.214,8,5,1
timmolter_Sundial,0830044330,SUCCESS,FAILURE,2.301,0.227,8,5,1
andrewgaul_s3proxy,0822082044,SUCCESS,SUCCESS,55.974,59.688,182,4,0
andrewgaul_s3proxy,0820095722,SUCCESS,SUCCESS,56.22,60.099000000000004,182,4,0
andrewgaul_s3proxy,0818134515,SUCCESS,SUCCESS,55.82,59.39,182,4,0
b3log_symphony,0822082044,FAILURE,FAILURE,0.302,0,0,0,0
b3log_symphony,0820095722,FAILURE,FAILURE,0.316,0,0,0,0
b3log_symphony,0818134515,FAILURE,FAILURE,0.313,0,0,0,0
rafaelsteil_jforum3,0822082044,FAILURE,FAILURE,0.427,0,0,0,0
rafaelsteil_jforum3,0820095722,FAILURE,FAILURE,0.433,0,0,0,0
rafaelsteil_jforum3,0818134515,FAILURE,FAILURE,0.468,0,0,0,0
brahalla_Cerberus,0822082044,SUCCESS,SUCCESS,12.574,1.6869999999999998,22,8,0
brahalla_Cerberus,0820095722,SUCCESS,SUCCESS,12.107,1.682,22,8,0
brahalla_Cerberus,0818134515,SUCCESS,SUCCESS,12.421,1.6880000000000002,22,8,0
amaembo_huntbugs,0822082044,SUCCESS,SUCCESS,14.929,9.37,15,11,0
amaembo_huntbugs,0820095722,SUCCESS,SUCCESS,14.966,9.260000000000002,15,11,0
amaembo_huntbugs,0818134515,SUCCESS,SUCCESS,14.453,8.983999999999998,15,11,0
tdunning_MiA,0822082044,SUCCESS,SUCCESS,0.79,0,0,0,0
tdunning_MiA,0820095722,SUCCESS,SUCCESS,0.736,0,0,0,0
tdunning_MiA,0818134515,SUCCESS,SUCCESS,0.725,0,0,0,0
dynjs_dynjs,0822082044,SUCCESS,SUCCESS,8.781,6.793999999999999,889,77,0
dynjs_dynjs,0820095722,SUCCESS,SUCCESS,8.539,6.771999999999998,889,77,0
dynjs_dynjs,0818134515,SUCCESS,SUCCESS,8.803,6.862,889,77,0
xmlunit_xmlunit,0829090641,SUCCESS,FAILURE,3.923,1.6029999999999998,400,30,74
xmlunit_xmlunit,0829191149,SUCCESS,FAILURE,3.86,1.551,400,30,74
xmlunit_xmlunit,0830044330,SUCCESS,FAILURE,3.935,1.612,400,30,74
pmwmedia_tinylog,0829090641,SUCCESS,FAILURE,4.164,1.1139999999999999,32,5,1
pmwmedia_tinylog,0829191149,SUCCESS,FAILURE,4.362,1.282,32,5,1
pmwmedia_tinylog,0830044330,SUCCESS,FAILURE,4.215,1.145,32,5,1
caskdata_cdap,0822082044,FAILURE,FAILURE,2.557,0,0,0,0
caskdata_cdap,0820095722,FAILURE,FAILURE,2.67,0,0,0,0
caskdata_cdap,0818134515,FAILURE,FAILURE,2.628,0,0,0,0
INRIA_spoon,0822082044,SUCCESS,SUCCESS,139,134.58199999999997,1042,133,0
INRIA_spoon,0820095722,SUCCESS,SUCCESS,144,140.10100000000003,1042,133,0
INRIA_spoon,0818134515,SUCCESS,SUCCESS,141,136.922,1042,133,0
Sloeber_arduino-eclipse-plugin,0822082044,SUCCESS,SUCCESS,34.705,0,0,0,0
Sloeber_arduino-eclipse-plugin,0820095722,SUCCESS,SUCCESS,34.65,0,0,0,0
Sloeber_arduino-eclipse-plugin,0818134515,SUCCESS,SUCCESS,39.75,0,0,0,0
bytedeco_javacv,0822082044,FAILURE,FAILURE,0.754,0,0,0,0
bytedeco_javacv,0820095722,FAILURE,FAILURE,0.727,0,0,0,0
bytedeco_javacv,0818134515,FAILURE,FAILURE,0.746,0,0,0,0
ajanata_PretendYoureXyzzy,0822082044,FAILURE,FAILURE,0.513,0,0,0,0
ajanata_PretendYoureXyzzy,0820095722,FAILURE,FAILURE,0.501,0,0,0,0
ajanata_PretendYoureXyzzy,0818134515,FAILURE,FAILURE,0.477,0,0,0,0
gousiosg_java-callgraph,0822082044,SUCCESS,SUCCESS,0.583,0,0,0,0
gousiosg_java-callgraph,0820095722,SUCCESS,SUCCESS,0.595,0,0,0,0
gousiosg_java-callgraph,0818134515,SUCCESS,SUCCESS,0.607,0,0,0,0
pentaho_pentaho-platform,0829090641,?,?,0,0,0,0,0
pentaho_pentaho-platform,0829191149,?,?,0,0,0,0,0
pentaho_pentaho-platform,0830044330,?,?,0,0,0,0,0
